Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes	PacketRaw	KilobytesRaw
1	U1	2	dev=local(2)	InInterests	8	0.554688	1	0.0693359
1	U1	2	dev=local(2)	OutInterests	0	0	0	0
1	U1	2	dev=local(2)	DropInterests	0	0	0	0
1	U1	2	dev=local(2)	InNacks	0	0	0	0
1	U1	2	dev=local(2)	OutNacks	0	0	0	0
1	U1	2	dev=local(2)	DropNacks	0	0	0	0
1	U1	2	dev=local(2)	InData	0	0	0	0
1	U1	2	dev=local(2)	OutData	0	0	0	0
1	U1	2	dev=local(2)	DropData	0	0	0	0
1	U1	1	dev=local(1)	InInterests	8	0.703125	1	0.0878906
1	U1	1	dev=local(1)	OutInterests	8	0.554688	1	0.0693359
1	U1	1	dev=local(1)	DropInterests	0	0	0	0
1	U1	1	dev=local(1)	InNacks	0	0	0	0
1	U1	1	dev=local(1)	OutNacks	0	0	0	0
1	U1	1	dev=local(1)	DropNacks	0	0	0	0
1	U1	1	dev=local(1)	InData	0	0	0	0
1	U1	1	dev=local(1)	OutData	0	0	0	0
1	U1	1	dev=local(1)	DropData	0	0	0	0
1	U1	0	dev[4]=net(0,4-45)	InInterests	0	0	0	0
1	U1	0	dev[4]=net(0,4-45)	OutInterests	8	0.703125	1	0.0878906
1	U1	0	dev[4]=net(0,4-45)	DropInterests	0	0	0	0
1	U1	0	dev[4]=net(0,4-45)	InNacks	0	0	0	0
1	U1	0	dev[4]=net(0,4-45)	OutNacks	0	0	0	0
1	U1	0	dev[4]=net(0,4-45)	DropNacks	0	0	0	0
1	U1	0	dev[4]=net(0,4-45)	InData	0	0	0	0
1	U1	0	dev[4]=net(0,4-45)	OutData	0	0	0	0
1	U1	0	dev[4]=net(0,4-45)	DropData	0	0	0	0
1	U10	1	dev=local(1)	InInterests	8	0.71875	1	0.0898438
1	U10	1	dev=local(1)	OutInterests	8	0.578125	1	0.0722656
1	U10	1	dev=local(1)	DropInterests	0	0	0	0
1	U10	1	dev=local(1)	InNacks	0	0	0	0
1	U10	1	dev=local(1)	OutNacks	0	0	0	0
1	U10	1	dev=local(1)	DropNacks	0	0	0	0
1	U10	1	dev=local(1)	InData	0	0	0	0
1	U10	1	dev=local(1)	OutData	0	0	0	0
1	U10	1	dev=local(1)	DropData	0	0	0	0
1	U10	2	dev=local(2)	InInterests	8	0.578125	1	0.0722656
1	U10	2	dev=local(2)	OutInterests	0	0	0	0
1	U10	2	dev=local(2)	DropInterests	0	0	0	0
